Name,Artists,Album
Nelluri Nerajana,"Hariharan, Mahalakshmi Iyer",Oke Okkadu
Poovullo Daagunna,"Unni Krishnan\, Sujatha",Jeans
Nanu Preminchananu,"Srini, Sujatha",Jodi
Manasuna Mansuga,"Hari Haran\, Chitra",Love Birds
Cheliya,Jeans Srinivas,Kushi
Eeru Vaka,"Swarnalatha, Srinivas",Oke Okkadu
Tholisaari,"Unnikrishnan, K. S. Chithra",Premante Pranamista
Nuvuleka Nelenu,S. P. Balasubrahmanyam,Pellikala Vachesinde Bala
Raave Naa Chaliyaa,"Sonu Nigam\, Harini",Jeans
Ye Mantramo,Bobo Shashi,Andala Rakshasi (Original Motion Picture Soundtrack)
New York Nagarama,A.R. Rahman,Nuvvu Nenu Prema
Preminche Premava,"Shreya Ghoshal\, Naresh Ayar",Nuvvu Nenu Prema
Leela Mruduleela,"S. P. Balasubrahmanyam, K. S. Chithra",Premante Pranamista
Vachinda Megham,"Adnan Sami\, Sujatha",Yuva
Edo Oka Raagam Female,K. S. Chithra,Raja
