Track Name,Artist Name(s),Album Name
Adiga Adiga,Sid Sriram,Ninnu Kori
Emai Poyave,Sid Sriram,Padi Padi Leche Manasu
Oorikey Ala,Haricharan,Majnu
Yetu Pone,Kala Bhairava,Dear Comrade
Kalala Kadhala,Harini Ivvaturi,Amar Akbar Antony
Premaledani,S. P. Balasubrahmanyam,Abhinandana
Povodhe Prema,Yuvan Shankar Raja,Oye
Karige Loga,"Devi Sri Prasad, Kunal Ganjawala, Megha",Aarya - 2 (Original Motion Picture Soundtrack)
Nammaka Tappani,Sagar,Bommarillu
Undiporaadhey - Sad Version,Sid Sriram,Hushaaru
Nee Selvadigi,Shweta Mohan,Janatha Garage
Urime Manase,"Raghu Dixit, Hiphop Tamizha","Urime Manase (From ""Krishnarjuna Yudham"")"
Prema Entha,S. P. Balasubrahmanyam,Abhinandana
O Priya,"S. P. Balasubrahmanyam, K. S. Chithra",Geetanjali
Priyathama,"Sekhar Chandhra, Sid Sriram",Kotha Kothaga
Nanu Preminchananu-Sad,Hariharan,Jodi
Prema Prema,"S. P. Balasubrahmanyam, O.S. Arun",Prema Desam
O Manasa O Manasa,Ravi Varma,Bhadra
Eduta Neeve,S. P. Balasubrahmanyam,Abhinandana
Mate Rani,S. P. Balasubrahmanyam,O Papa Lali
Pranamlo Pranamga,K. S. Chithra,Andhrudu
Ade Neevu,S. P. Balasubrahmanyam,Abhinandana
Hey Yela Sad Version,Chinmayi,Hippi
Ee Jeevana Tharangalalo,Ghantasala,Jeevana Tarangalu
Yevari Kosam,"Ghantasala, P. Susheela",Narthanasala
Yemi Cheyamanduve,Shankar Mahadevan,Priyuraalu Pilichindi
Badhulu Thochanai,"Karthik\, Mallikarjun",Mr Perfect
Telisiney Na Nuvvey,L. V. Revanth,Arjun Reddy
Em Cheppanu,Karthik,Nenu Sailaja
Kanureppala Kaalam,Gopi Sundar,Geetha Govindam
Kanapadava Male,Anand Aravindakshan,Paagal
Aanandam Madike,"Sid Sriram\, Satya Yamini",Ishq - Not A Love Story
Oosupodu,Hemachandra Vedala,Fidaa
Toliprema,Kala Bhairava,Tholi Prema
Vellipomaake,"Sid Sriram\, ADK",Saahasam Swaasaga Saagipo
Na Prema kathaku,Haricharan,Solo
Baby U Gonna Miss Me,Sagar,Kumari 21 F
Pranam Poye Badha,Yazin Nizar,O Pilla Nee Valla
Oke Oka Jeevitham,Haricharan,Mr Nookayya
Dhooram Dhooram,Tippu,100% Love
Jalley,Ranjith Govind,Vaishali
Gucchi Gucchi,Harish Raghavendra,Rajubhai
Atu Nuvve,Neha Bhasin,Current
Cheliya Cheliya,"K.K\, Suchitra",Gharshana-New
Ee Kshnam Oke Oka Korika,K. S. Chithra,Ela Cheppanu
Yevarini Adaganu,"Vishal Chandrashekhar, Yazin Nizar",Sita Ramam (Telugu) (Extended Version) [Original Motion Picture Soundtrack]
Yevevo,"Akhil Akkineni, Jonita Gandhi",Hello!
Sandram Lona Neerantha,Sean Roldan,Uppena
One Boy One Girl,L. V. Revanth,Majili
Nuvvante Pranamani,Vijay Yesudas,Naa Autograph
